Runner,Lap,Start,End,Complete_Loop,Active
Tan Guy,1,2023-03-14 09:54:00 EST, 2023-03-14 18:44:00 EST,Yes,Yes
Guy With Big Grin,2,2023-03-14 18:50:00 EST,,No,Yes
Guy With Big Grin,1,2023-03-14 09:54:00 EST, 2023-03-14 18:44:00 EST,Yes,Yes
Another Bearded Guy,1,2023-03-14 09:54:00 EST, 2023-03-14 18:44:00 EST,Yes,Yes
Tall Guy #2 w/ Black Beard,2,2023-03-14 18:36:00 EST,,No,Yes
Tall Guy #2 w/ Black Beard,1,2023-03-14 09:54:00 EST,2023-03-14 18:16:57 EST,Yes,Yes
Small European Woman,2,2023-03-14 18:36:00 EST,,No,Yes
Small European Woman,1,2023-03-14 09:54:00 EST,2023-03-14 18:20:57 EST,Yes,Yes
Big Smiling Guy,2,2023-03-14 18:36:00 EST,,No,Yes
Big Smiling Guy,1,2023-03-14 09:54:00 EST,2023-03-14 18:16:57 EST,Yes,Yes
Big Smiling Guy,2,2023-03-14 18:36:00 EST,,No,Yes
Nondescript Guy,2,2023-03-14 18:36:00 EST,,No,Yes
Nondescript Guy,1,2023-03-14 09:54:00 EST,2023-03-14 18:16:57 EST,Yes,Yes
Guy With Glasses,2,2023-03-14 18:27:00 EST,,No,Yes
Guy With Glasses,1,2023-03-14 09:54:00 EST,2023-03-14 18:16:56 EST,Yes,Yes
Guy With Mohawk,2,2023-03-14 18:27:00 EST,,No,Yes
Guy With Mohawk,1,2023-03-14 09:54:00 EST,2023-03-14 18:16:55 EST,Yes,Yes
Tall Guy #1,2,2023-03-14 18:16:54 EST, 2023-03-14 18:17:54 EST,No,Yes
Tall Guy #1,1,2023-03-14 09:54:00 EST,2023-03-14 18:16:54 EST,Yes,Yes
Aaron Bradner (2),1,2023-03-14 09:54:00 EST,,No,Yes
Albert Herrero Casas (2),1,2023-03-14 09:54:00 EST,,No,Yes
Andrea Kooiman (1),1,2023-03-14 09:54:00 EST,,No,Yes
Andrea Larson (2),1,2023-03-14 09:54:00 EST,,No,Yes
Aurélien Sanchez (1),1,2023-03-14 09:54:00 EST,,No,Yes
Ben Yancey (2),1,2023-03-14 09:54:00 EST,,No,Yes
Billy Green (2),1,2023-03-14 09:54:00 EST,,No,Yes
Christophe Nonorgue (1),1,2023-03-14 09:54:00 EST,,No,Yes
Damian Hall (1),1,2023-03-14 09:54:00 EST,,No,Yes
David Limousin (2),1,2023-03-14 09:54:00 EST,,No,Yes
Dawn Greenwalt (1),1,2023-03-14 09:54:00 EST,,No,Yes
Eoin Keith (2),1,2023-03-14 09:54:00 EST,,No,Yes
Guillaume Calmettes (4),1,2023-03-14 09:54:00 EST,,No,Yes
Harvey Lewis (2),1,2023-03-14 09:54:00 EST,,No,Yes
Jared Campbell (7),1,2023-03-14 09:54:00 EST,,No,Yes
Jasmin Paris (2),1,2023-03-14 09:54:00 EST,,No,Yes
Joe McConaughy (1),1,2023-03-14 09:54:00 EST,,No,Yes
Johan Steene (4),1,2023-03-14 09:54:00 EST,,No,Yes
John Kelly (6),1,2023-03-14 09:54:00 EST,,No,Yes
Jon Eisen (1),1,2023-03-14 09:54:00 EST,,No,Yes
Karel Sabbe (3),1,2023-03-14 09:54:00 EST,,No,Yes
Katie Wright (2),1,2023-03-14 09:54:00 EST,,No,Yes
Melissa Robertson (1),1,2023-03-14 09:54:00 EST,,No,Yes
Nickademus de la Rosa (4),1,2023-03-14 09:54:00 EST,,No,Yes
Nicky Spinks (2),1,2023-03-14 09:54:00 EST,,No,Yes
Pavel Paloncý (3),1,2023-03-14 09:54:00 EST,,No,Yes
Rémy Jégard (6),1,2023-03-14 09:54:00 EST,,No,Yes
Stephen Redfern (1),1,2023-03-14 09:54:00 EST,,No,Yes
Thomas van Woensel (1),1,2023-03-14 09:54:00 EST,,No,Yes
Tom Hollins (1),1,2023-03-14 09:54:00 EST,,No,Yes
Tomokazu Ihara (4),1,2023-03-14 09:54:00 EST,,No,Yes
Someone from Italy* (1),1,2023-03-14 09:54:00 EST,,No,Yes
Someone from Norway* (1),1,2023-03-14 09:54:00 EST,,No,Yes
Someone from North Carolina* (1),1,2023-03-14 09:54:00 EST,,No,Yes
Someone from Michigan* (1),1,2023-03-14 09:54:00 EST,,No,Yes
Ed Furtaw (22),1,2023-03-14 09:54:00 EST,2023-03-14 18:11:00 EST,No,No
