Runner,Lap,Start,End,Complete_Loop,Active
Ed Furtaw (#21),1,,2022-03-08 16:39,Yes,No
Enrico Frigeri (#1),1,,2022-03-08 19:53,Yes,No
Enrico Frigeri (#1),2,2022-03-08 19:53,2022-03-08 20:10,Yes,No
Ivan Dimitrov (#1),1,,2022-03-08 20:13,Yes,No
Ivan Dimitrov (#1),2,2022-03-08 20:13,2022-03-08 20:23,Yes,No
Richard Sparks (#1),1,,2022-03-08 21:14,Yes,No
Isobel Ross (#2),1,,2022-03-08 21:14,Yes,No
David Hughes (#15),1,2022-03-08 08:34,2022-03-08 21:14,Yes,No
Arturas Volianskis (#1),1,,2022-03-08 21:14,Yes,No
Andrea Larson (#1),1,,2022-03-08 21:14,Yes,No
Alexandre Ricaud (#1),1,,2022-03-08 21:14,Yes,No
Leif Abrahamsen (#1),1,,2022-03-08 20:28,Yes,No
Leif Abrahamsen (#1),2,2022-03-08 20:43,2022-03-08 21:18,Yes,No
Hinke Schokker (#1),1,,2022-03-08 19:44,Yes,No
Hinke Schokker (#1),2,2022-03-08 20:24,2022-03-08 21:18,Yes,No
Katie Wright (#1),1,,2022-03-08 20:41,Yes,No
Katie Wright (#1),2,2022-03-08 20:51,2022-03-08 23:06,Yes,No
Michael Brower (#1),1,,2022-03-08 19:57,Yes,No
Michael Brower (#1),2,2022-03-08 19:57,2022-03-08 23:06,Yes,No
Rémy Jegard (#5),1,,2022-03-08 19:33,Yes,No
Rémy Jegard (#5),2,2022-03-08 20:09,2022-03-08 23:06,Yes,No
Jodi Isenor (#5),1,,2022-03-08 18:08,Yes,No
Jodi Isenor (#5),2,2022-03-08 18:45,2022-03-08 23:06,Yes,No
Marina Kollassa* (#1),1,,2022-03-08 23:23,Yes,No
Joshua Wiley (#1),1,,2022-03-08 23:23,Yes,No
Thomas Øderud (#1),1,,2022-03-08 17:12,Yes,No
Thomas Øderud (#1),2,2022-03-08 17:48,2022-03-09 01:21,Yes,No
Harvey Lewis (#1),1,,2022-03-08 16:31,Yes,No
Harvey Lewis (#1),2,2022-03-08 16:42,2022-03-09 02:08,Yes,No
Courtney Dauwalter (#2),1,,2022-03-08 16:12,Yes,No
Courtney Dauwalter (#2),2,2022-03-08 16:35,2022-03-09 02:08,Yes,No
Guillaume Calmettes (#3),1,,2022-03-08 17:36,Yes,No
Guillaume Calmettes (#3),2,2022-03-08 17:43,2022-03-09 03:10,Yes,No
John Clarke (#1),1,,2022-03-08 19:38,Yes,No
John Clarke (#1),2,2022-03-08 20:24,2022-03-09 04:30,Yes,No
Alberto Herrero-Casas (#1),1,,2022-03-08 16:01,Yes,No
Alberto Herrero-Casas (#1),2,2022-03-08 16:12,2022-03-09 04:49,Yes,No
Paul Giblin (#2),1,,2022-03-08 17:21,Yes,No
Paul Giblin (#2),2,2022-03-08 18:18,2022-03-09 06:39,Yes,No
Merijn Geerts (#1),1,,2022-03-08 19:43,Yes,No
Merijn Geerts (#1),2,2022-03-08 19:43,2022-03-09 09:00,Yes,No
Carol Morgan (#1),1,,2022-03-08 20:13,Yes,No
Carol Morgan (#1),2,2022-03-08 20:13,2022-03-09 10:34,Yes,No
Chris Roberts (#1),1,,2022-03-08 19:51,Yes,No
Chris Roberts (#1),2,2022-03-08 20:18,2022-03-09 10:34,Yes,No
Anna Carlsson (#1),1,,2022-03-08 18:08,Yes,No
Anna Carlsson (#1),2,2022-03-08 18:24,2022-03-09 10:34,Yes,No
Ian Farris (#2),1,,2022-03-08 18:08,Yes,No
Ian Farris (#2),2,2022-03-08 18:24,2022-03-09 10:34,Yes,No
Johanna Bygdell (#1),1,,2022-03-08 18:08,Yes,No
Johanna Bygdell (#1),2,2022-03-08 18:24,2022-03-09 10:34,Yes,No
Alyssa Godesky (#1),1,,2022-03-08 18:08,Yes,No
Alyssa Godesky (#1),2,2022-03-08 18:24,2022-03-09 10:34,Yes,No
Aaron Bradner (#1),1,,2022-03-08 17:12,Yes,No
Aaron Bradner (#1),2,2022-03-08 17:51,2022-03-09 10:34,Yes,No
Michael Dubova (#1),1,,2022-03-08 16:01,Yes,No
Michael Dubova (#1),2,2022-03-08 16:17,2022-03-09 10:34,Yes,No
Tomokazu Ihara (#3),1,,2022-03-08 17:54,Yes,No
Tomokazu Ihara (#3),2,2022-03-08 18:12,2022-03-9 10:09,Yes,No
Jasmin Paris (#1),1,,2022-03-08 17:07,Yes,Fun
Jasmin Paris (#1),2,2022-03-08 17:18,2022-03-09 07:32,Yes,Fun
Jasmin Paris (#1),3,2022-03-09 07:46,2022-03-09 23:43,Yes,Fun
Thomas Dunkerbeck (#1),1,,2022-03-08 16:26,Yes,Fun
Thomas Dunkerbeck (#1),2,2022-03-08 16:49,2022-03-09 07:29,Yes,Fun
Thomas Dunkerbeck (#1),3,2022-03-09 07:47,2022-03-09 23:21,Yes,Fun
John Kelly (#5),1,,2022-03-08 16:01,Yes,Fun
John Kelly (#5),2,2022-03-08 16:11,2022-03-09 3:28,Yes,Fun
John Kelly (#5),3,2022-03-09 05:23,2022-03-09 19:20,Yes,Fun
Karel Sabbe (#2),1,,2022-03-08 16:01,Yes,No
Karel Sabbe (#2),2,2022-03-08 16:11,2022-03-09 3:28,Yes,No
Karel Sabbe (#2),3,2022-03-09 03:54,2022-03-09 16:15,Yes,No
Karel Sabbe (#2),4,2022-03-09 16:34,2022-03-10 05:58,Yes,No
Greig Hamilton (#2),1,,2022-03-08 16:31,Yes,No
Greig Hamilton (#2),2,2022-03-08 16:42,2022-03-09 04:20,Yes,No
Greig Hamilton (#2),3,2022-03-09 04:42,2022-03-09 18:14,Yes,No
Greig Hamilton (#2),4,2022-03-09 18:48,2022-03-10 07:54,Yes,Yes
